Date	Amount
11/11/1998	143.823
11/12/1998	143.974
11/13/1998	144.174
11/16/1998	143.321
11/17/1998	142.317
11/18/1998	142.719
11/19/1998	143.321
11/20/1998	144.325
11/23/1998	144.978
11/24/1998	146.182
11/25/1998	145.881
11/26/1998	146.082
11/27/1998	145.781
11/30/1998	146.484
12/1/1998	144.41
12/2/1998	143.477
12/3/1998	142.971
12/4/1998	142.483
12/7/1998	143.547
12/8/1998	143.547
12/9/1998	143.547
12/10/1998	141.815
12/11/1998	141.573
12/12/1998	141.77
12/13/1998	141.77
12/14/1998	141.77
12/16/1998	141.72
12/17/1998	142.242
12/18/1998	141.87
12/21/1998	142.317
12/22/1998	142.97
12/23/1998	143.301
12/24/1998	143.522
12/26/1998	143.522
1/1/1999	143.523
1/4/1999	142.75
1/5/1999	141.749
1/7/1999	141.70
1/8/1999	142.20
1/10/1999	142.20
1/11/1999	142.71
1/12/1999	143.81
1/13/1999	144.432
1/14/1999	141.72
1/15/1999	142.784
1/18/1999	143.20
1/19/1999	143.211
1/20/1999	143.229
1/21/1999	143.746
1/22/1999	143.783
1/25/1999	143.85
1/26/1999	143.682
1/27/1999	143.659
1/28/1999	144.32
1/29/1999	145.825
2/1/1999	145.30
2/2/1999	146.751
2/3/1999	146.674
2/4/1999	146.764
2/5/1999	147.728
2/8/1999	147.728
2/9/1999	147.925
2/10/1999	146.815
2/11/1999	146.699
2/12/1999	147.088
2/13/1999	145.00
2/15/1999	147.60
2/16/1999	148.05
2/17/1999	148.878
2/18/1999	147.859
2/19/1999	148.136
2/22/1999	149.105
2/23/1999	151.37
2/24/1999	151.637
2/25/1999	150.637
2/26/1999	150.85
3/1/1999	151.10
3/2/1999	151.453
3/3/1999	152.83
3/4/1999	152.662
3/5/1999	153.125
3/8/1999	153.40
3/9/1999	153.00
3/10/1999	153.00
3/11/1999	153.00
3/12/1999	153.00
3/15/1999	153.00
3/16/1999	153.819
3/17/1999	152.243
3/18/1999	151.8675
3/19/1999	153.111
3/20/1999	153.00
3/21/1999	153.00
3/22/1999	153.677
3/23/1999	153.719
3/24/1999	153.196
3/25/1999	153.592
3/26/1999	154.389
3/27/1999	155.544
3/29/1999	155.327
3/30/1999	155.661
3/31/1999	156.055
4/2/1999	155.60
4/5/1999	156.00
4/6/1999	155.733
4/7/1999	155.109
4/8/1999	154.892
4/9/1999	155.544
4/10/1999	156.00
4/12/1999	154.30
4/13/1999	154.605
4/14/1999	154.634
4/15/1999	154.936
4/16/1999	156.775
4/17/1999	156.775
4/18/1999	156.775
4/19/1999	156.85
4/20/1999	157.22
4/21/1999	157.592
4/22/1999	156.923
4/23/1999	156.63
